participant,sentence
INV,0 .
INV,you know what ?
INV,you need a driver .
INV,do you want the blue driver or the red driver ?
CHI,0 .
CHI,0 .
INV,red .
CHI,0 .
INV,can you put him in the fire truck ?
INV,you have a driver here .
INV,put him in the fire truck .
INV,0 . [+ trn]
CHI,0 .
INV,blue .
INV,0 . [+ trn]
CHI,0 .
INV,put him in the fire truck .
CHI,0 .
INV,there you go .
INV,drive .
CHI,0 .
CHI,0 .
CHI,0 .
INV,what's he doing ?
INV,is he getting gas ?
CHI,0 .
INV,&-uh oh .
CHI,0 .
INV,let's put it this way Chi .
CHI,0 .
CHI,0 .
INV,xxx . [+ trn]
INV,don't crash them .
INV,we'll hafta put them away .
CHI,0 .
INV,no no no no no .
INV,no .
CHI,0 .
INV,can you stack them ?
CHI,0 .
INV,&-uh oh .
INV,it fell again .
CHI,0 .
CHI,0 .
INV,0 .
INV,&-uh oh .
CHI,0 .
CHI,0 .
CHI,xxx . [+ trn]
INV,what ?
INV,there's the ladder .
CHI,xxx . [+ trn]
INV,here's the ladder .
CHI,xxx . [+ trn]
INV,put it on ?
INV,okay .
INV,0 .
INV,here you go .
CHI,0 .
CHI,xxx . [+ trn]
INV,you're welcome .
INV,0 .
CHI,0 .
INV,let me see your nose .
CHI,0 .
INV,&-uh oh .
CHI,xxx .
INV,0 .
CHI,xxx .
INV,0 .
CHI,0 .
INV,you need a driver Chi .
CHI,0 .
INV,there you go .
INV,the blue driver .
INV,there's a yellow driver .
CHI,0 .
INV,they're at the gas station .
INV,they're getting gas .
INV,0 .
INV,put those on somewhere .
CHI,0 .
CHI,xxx . [+ trn]
CHI,xxx . [+ trn]
CHI,xxx . [+ trn]
INV,up on top .
INV,that's right .
CHI,0 .
INV,here's some more .
CHI,0 .
INV,blue and green ones .
CHI,0 .
CHI,xxx .
INV,put those somewhere .
CHI,0 .
CHI,0 .
CHI,0 .
CHI,xxx . [+ trn]
INV,okay .
INV,put those on .
CHI,0 .
INV,smash it .
INV,now what ?
INV,here's a tall one .
CHI,0 .
INV,&-uh oh .
CHI,0 .
INV,yyy .
INV,how about down here .
CHI,0 .
INV,no .
CHI,0 .
INV,here's some more .
CHI,0 .
INV,where do those go ?
CHI,0 .
CHI,0 .
INV,in the truck .
INV,good idea .
CHI,0 .
INV,0 .
CHI,xxx . [+ trn]
INV,bye bye .
INV,where are you going ?
INV,0 .
INV,crash .
INV,0 .
CHI,0 .
INV,xxx . [+ trn]
INV,crash .
INV,0 .
INV,put them in the bucket .
CHI,0 .
CHI,0 .
INV,0 .
INV,he fell out_of the car .
INV,can you get him and put him back in ?
CHI,0 .
INV,thank you .
INV,good job .
CHI,0 .
INV,0 .
CHI,0 .
CHI,0 .
CHI,0 .
CHI,0 .
INV,where are they going ?
INV,are they going to the gas station ?
INV,0 .
CHI,0 .
INV,0 .
CHI,0 .
CHI,0 .
CHI,0 .
CHI,0 . [+ trn]
INV,what is that ?
INV,the door ?
INV,okay .
CHI,0 .
CHI,0 .
CHI,0 .
CHI,0 .
CHI,xxx . [+ trn]
CHI,xxx . [+ trn]
CHI,xxx . [+ trn]
CHI,xxx . [+ trn]
INV,what's wrong ?
INV,it's too big .
INV,the truck is too big .
INV,it won't fit .
INV,it won't fit .
INV,how about on this one ?
CHI,0 . [+ trn]
INV,no .
INV,0 .
INV,Chi let's put these back in the bucket okay ?
INV,can we put these back in the bucket ?
CHI,xxx . [+ trn]
INV,no ?
INV,one ?
CHI,0 .
CHI,0 .
INV,0 .
CHI,0 .
INV,yyy .
INV,0 . [+ trn]
CHI,0 .
INV,0 .
CHI,0 .
INV,&=gasp . [+ trn]
INV,it crashed .
CHI,0 .
INV,hi Tony .
INV,Chi look .
INV,it's Tony .
CHI,hi .
INV,hi .
CHI,0 .
INV,stop at the gas station .
CHI,0 .
CHI,0 . [+ trn]
INV,it's a spot isn't it ?
INV,does it itch ?
INV,does it itch ?
INV,yeah .
CHI,xxx . [+ trn]
CHI,xxx . [+ trn]
INV,do you have spots on your fingers ?
CHI,xxx . [+ trn]
INV,no .
INV,all_gone .
CHI,0 .
INV,it's all_gone .
INV,it's all_gone .
CHI,0 . [+ trn]
INV,mhm .
INV,that's my finger .
CHI,xxx . [+ trn]
CHI,xxx . [+ trn]
INV,that's your finger .
INV,let's pick this up and get ready for snack .
CHI,xxx . [+ trn]
INV,how about some bubbles ?
CHI,xxx . [+ trn]
INV,okay ?
CHI,xxx . [+ trn]
INV,what's wrong ?
CHI,xxx . [+ trn]
INV,is there something in your shoe ?
CHI,xxx . [+ trn]
INV,bubbles ?
CHI,xxx . [+ trn]
CHI,xxx . [+ trn]
INV,balloons ?
CHI,xxx . [+ trn]
INV,0 .
CHI,0 .
INV,all right .
CHI,xxx . [+ trn]
INV,red or blue ?
CHI,0 .
INV,red .
CHI,0 .
INV,0 .
CHI,xxx . [+ trn]
INV,it's a red balloon .
INV,now what ?
CHI,xxx . [+ trn]
INV,blow it ?
CHI,xxx . [+ trn]
INV,blow it ?
CHI,xxx . [+ trn]
INV,0 .
CHI,0 .
INV,pinch it .
INV,pinch it .
CHI,xxx . [+ trn]
INV,0 .
CHI,0 .
INV,xxx . [+ trn]
CHI,0 .
CHI,0 . [+ trn]
CHI,xxx . [+ trn]
CHI,0 . [+ trn]
INV,blow it ?
INV,blow it ?
CHI,xxx . [+ trn]
INV,0 .
CHI,0 .
CHI,xxx . [+ trn]
INV,pinch it .
CHI,0 [=! cries] . [+ trn]
INV,tie it ?
INV,do you want me to tie it ?
CHI,xxx . [+ trn]
INV,0 .
INV,&-uh .
CHI,xxx . [+ trn]
INV,get it .
CHI,xxx . [+ trn]
CHI,xxx . [+ trn]
INV,okay .
CHI,xxx . [+ trn]
INV,okay .
INV,let me tie it .
INV,let me tie it .
CHI,0 [=! cries] . [+ trn]
INV,watch .
INV,0 .
CHI,xxx . [+ trn]
INV,watch .
CHI,xxx . [+ trn]
INV,xxx . [+ trn]
CHI,xxx . [+ trn]
CHI,xxx . [+ trn]
INV,bye .
CHI,xxx .
CHI,0 .
INV,&=gasp . [+ trn]
INV,there it goes .
INV,it came back down .
CHI,0 .
CHI,0 .
INV,up .
INV,down .
CHI,0 .
INV,up .
INV,up up up up .
INV,down .
INV,up .
INV,bye bye .
INV,&=gasp . [+ trn]
CHI,0 .
INV,&=gasp . [+ trn]
INV,up .
INV,down .
CHI,0 .
CHI,0 .
INV,up .
INV,down .
INV,up .
INV,down .
CHI,0 .
CHI,0 .
CHI,0 .
INV,0 .
CHI,0 .
CHI,0 . [+ trn]
INV,&=gasp . [+ trn]
INV,it's gone .
INV,where did it go ?
CHI,0 .
INV,I see it Chi .
CHI,0 .
CHI,xxx . [+ trn]
INV,I think it's gone .
CHI,0 .
INV,maybe it'll come down .
CHI,0 . [+ trn]
INV,here it comes .
INV,down .
INV,it hit my nose .
CHI,0 .
INV,red balloon .
CHI,0 .
INV,going up .
INV,down .
CHI,0 .
INV,down .
CHI,0 .
CHI,0 .
INV,what's happening ?
CHI,0 .
INV,push it .
CHI,0 .
CHI,0 .
INV,up .
INV,up [>] .
CHI,0 [<] .
INV,up .
INV,look .
CHI,0 .
INV,it's going up isn't it Tony ?
CHI,0 .
INV,up .
CHI,0 .
INV,grab it .
CHI,0 .
INV,&=gasp . [+ trn]
INV,catch it .
INV,catch it .
CHI,xxx .
INV,catch it .
INV,catch it .
CHI,0 .
INV,there you go .
CHI,0 .
INV,&=gasp . [+ trn]
CHI,0 .
INV,oh .
INV,it's coming down .
CHI,0 .
INV,catch it .
CHI,0 .
CHI,0 .
INV,0 .
CHI,0 .
INV,0 .
CHI,0 .
INV,0 .
CHI,0 .
CHI,0 . [+ trn]
INV,move over ?
INV,&=laughs .
INV,go ahead .
CHI,0 .
CHI,0 .
CHI,0 .
INV,here comes the balloon .
CHI,0 .
INV,0 . [+ trn]
CHI,xxx . [+ trn]
INV,there's Christy .
INV2,hi Chi .
CHI,0 . [+ trn]
INV,there's Christy .
INV2,&=laughs .
CHI,0 .
INV,0 . [+ trn]
CHI,0 .
INV,0 .
INV,0 .
INV,0 .
CHI,0 .
INV,there it goes .
CHI,0 .
CHI,0 .
CHI,xxx .
INV,what are you doing ?
CHI,xxx .
INV,yyy .
CHI,0 .
CHI,0 .
INV,get the balloon .
INV,let's find something else to play .
CHI,0 .
INV,0 . [+ trn]
INV,let's put the balloon away .
INV,0 .
CHI,0 .
INV,0 .
INV,let's put it away .
CHI,0 .
CHI,0 . [+ trn]
INV,shall we put it in the cupboard ?
INV,bye bye .
CHI,0 . [+ trn]
